# 20230814T1614
index	sample	cell	alt_id	read_type	data_source	file_source	project	file_rel_path	file_date	file_group	group_date	matched
0	GM19129	m54329U_201021_182400	m54329U_201021_182400	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_201021_182400.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
1	GM19129	m54329U_210223_194607	m54329U_210223_194607	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210223_194607.ccs.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
2	GM19129	m54329U_210507_224951-bc1022_BAK8B_OA	m54329U_210507_224951-bc1022_BAK8B_OA	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210507_224951-bc1022_BAK8B_OA.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
3	GM19129	m54329U_210516_043155-bc1022_BAK8B_OA	m54329U_210516_043155-bc1022_BAK8B_OA	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210516_043155-bc1022_BAK8B_OA.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
4	GM19129	m64076_201023_184120	m64076_201023_184120	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201023_184120.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
5	GM19129	m64076_201025_005549	m64076_201025_005549	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201025_005549.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
6	GM19129	m64076_201026_210420	m64076_201026_210420	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201026_210420.ccs.fastq.gz	2020	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
7	GM19129	m64076_210423_190653	m64076_210423_190653	hifi	HGSVCuw	20230627_hgsvc_hifi_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_210423_190653.hifi_reads.fastq.gz	2021	8a60482a5f0cf3227b3b5d9585ddb5ed	2022	1
8	GM19129	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass	ont	HGSVCuw	20230627_hgsvc_ont_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/nanopore/20230501_HGSVC_UL_ONT-UW/GM19129/GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	2021	07508687b194fccd52f7c9366f387ad1	2023	1
9	GM19129	GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass	GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass	ont	HGSVCuw	20230627_hgsvc_ont_cell-UW.tsv	HGSVCuw	project-centric/hgsvc/nanopore/20230501_HGSVC_UL_ONT-UW/GM19129/GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	2021	07508687b194fccd52f7c9366f387ad1	2023	1
