# 20230630T1754
sample	read_type	file_name	file_path	matched_to_md	curated_by	file_group	group_date
GM19129	hifi	m54329U_201021_182400.ccs.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_201021_182400.ccs.fastq.gz	0	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m54329U_210223_194607.ccs.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210223_194607.ccs.fastq.gz	1	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m54329U_210507_224951-bc1022_BAK8B_OA.hifi_reads.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210507_224951-bc1022_BAK8B_OA.hifi_reads.fastq.gz	2	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m54329U_210516_043155-bc1022_BAK8B_OA.hifi_reads.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m54329U_210516_043155-bc1022_BAK8B_OA.hifi_reads.fastq.gz	3	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m64076_201023_184120.ccs.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201023_184120.ccs.fastq.gz	4	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m64076_201025_005549.ccs.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201025_005549.ccs.fastq.gz	5	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m64076_201026_210420.ccs.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_201026_210420.ccs.fastq.gz	6	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	hifi	m64076_210423_190653.hifi_reads.fastq.gz	project-centric/hgsvc/pacbio_hifi/20220418_UW_HiFi/GM19129/m64076_210423_190653.hifi_reads.fastq.gz	7	metadata_table	8a60482a5f0cf3227b3b5d9585ddb5ed	2022
GM19129	ont	GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/GM19129/GM19129_20210915_UL_eee-prom1-3D-PAH94870_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	8	metadata_table	ff5e22b0090be297be1068a9318f0768	2023
GM19129	ont	GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/GM19129/GM19129_20210921_UL_eee-prom1-1B-PAH95198_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	9	metadata_table	ff5e22b0090be297be1068a9318f0768	2023
GM19129	ont	GM19129_20210928_UL_eee-prom1-3G-PAH95198_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	project-centric/hgsvc/nanopore/20230414_HGSVC_UL_ONT/GM19129/GM19129_20210928_UL_eee-prom1-3G-PAH95198_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	10	metadata_table	ff5e22b0090be297be1068a9318f0768	2023
