sample_name	cell_id	path_or_annotated_sample	file_cell_matched	error_source
HG02769	HG02769_20210825_UL_eee-prom1-2C-PAH62122_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210825_UL_eee-prom1-2C-PAH62122_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210826_UL_eee-prom1-2C-PAH62122_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210826_UL_eee-prom1-2C-PAH62122_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210831_UL_eee-prom1-3B-PAH61842_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210831_UL_eee-prom1-3B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210901_UL_eee-prom1-2B-PAH61842_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210901_UL_eee-prom1-2B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210901_UL_eee-prom1-3B-PAH61842_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210901_UL_eee-prom1-3B-PAH61842_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210901_UL_eee-prom1-3F-PAH61842_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210901_UL_eee-prom1-3F-PAH61842_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210902_UL_eee-prom1-3H-PAH34317_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210902_UL_eee-prom1-3H-PAH34317_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210915_UL_eee-prom1-3B-PAH79896_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210915_UL_eee-prom1-3B-PAH79896_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20210922_UL_eee-prom1-2C-PAH79896_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20210922_UL_eee-prom1-2C-PAH79896_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211102_UL_eee-prom1-1C-PAI18970-2_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20211102_UL_eee-prom1-1C-PAI18970-2_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211102_UL_eee-prom1-1C-PAI18970_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20211102_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211103_UL_eee-prom1-1C-PAI18970_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20211103_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211104_UL_eee-prom1-1C-PAI18970_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20211104_UL_eee-prom1-1C-PAI18970_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211116_UL_eee-prom1-3A-PAI18834_guppy-5	20230228_UW_EEE_ONT_UL/HG02769/HG02769_20211116_UL_eee-prom1-3A-PAI18834_guppy-5.0.11-sup-prom_fastq_pass.fastq.gz	match-found	no-error
HG02769	HG02769_20211117_UL_eee-prom1-3A-PAI18834-2_guppy-5	HG02769	no-match-found	missing-file-on-share
