sample	cell
HG00514	m54329U_200715_194535
HG00514	m54329U_200717_235548
HG00514	m54329U_200719_061020
HG00732	m54329U_200528_200534
HG00732	m64076_200601_234627
HG00732	m64076_200603_055852
HG00731	m54329U_190528_231241
HG00731	m54329U_190531_175004
HG00731	m54329U_190601_235636
HG00731	m54329U_190606_045526
HG00731	m54329U_190906_205127
HG00733	m54329U_190607_185248
HG00733	m54329U_190615_010947
HG00733	m54329U_190617_231905
HG00733	m54329U_190619_052546
HG00733	m54329U_190629_180018
HG00733	m54329U_190701_222759
HG00733	m54329U_190827_173812
