SAMPLE	CELL	READ_TYPE	SOURCE
NA24385	m64004_210224_230828 	HiFi	PRJNA813010
NA24385	m64014_210227_165255 	HiFi	PRJNA813010
NA24385	m64015e_210223_010616 	HiFi	PRJNA813010
NA24385	m64015e_210224_100310	HiFi	PRJNA813010
NA24385	m54329U_201103_231616 	HiFi	PRJNA731524
NA24385	m64076_201013_225902 	HiFi	PRJNA731524
NA24385	m64076_201016_191536 	HiFi	PRJNA731524
NA24385	m64076_210309_014547 	HiFi	PRJNA731524
NA24385	m64076_210310_104300	HiFi	PRJNA731524
NA24385	m64011_190830_220126 	HiFi	PRJNA586863
NA24385	m64011_190901_095311 	HiFi	PRJNA586863
NA24385	m64012_190920_173625 	HiFi	PRJNA586863
NA24385	m64012_190921_234837	HiFi	PRJNA586863
HG02818	m64043_200209_061852	HiFi	PRJNA731524
HG02818	m64043_200314_004623	HiFi	PRJNA731524
HG02818	m64043_200315_071057	HiFi	PRJNA731524
HG02818	m64043_200318_040100	HiFi	PRJNA731524
HG02818	m64043_200206_173947	HiFi	PRJNA339722
HG02818	m64043_200207_235213	HiFi	PRJNA339722
HG02818	m64043_200316_214923	HiFi	PRJNA339722
