SAMPLE	CELL	READ_TYPE	SOURCE
HG00733	20201123_UL_eee-grid3-X4-FAO83479_guppy-5 	ONT	EEEext
HG00733	20201125_UL_eee-grid3-X1-FAO83479_guppy-5 	ONT	EEEext
HG00733	20201127_UL_eee-grid3-X4-FAO83495_guppy-5 	ONT	EEEext
HG00733	20201128_UL_eee-grid3-X5-FAO89669_guppy-5 	ONT	EEEext
HG00733	20201201_UL_eee-grid3-X4-FAO82922_guppy-5 	ONT	EEEext
HG00733	20201201_UL_eee-grid3-X5-FAO89653_guppy-5 	ONT	EEEext
HG00733	20201204_UL_eee-grid3-X1-FAO08860_guppy-5 	ONT	EEEext
HG00733	20201204_UL_eee-grid3-X2-FAO94635_guppy-5 	ONT	EEEext
HG00733	20201204_UL_eee-grid3-X3-FAO94739_guppy-5 	ONT	EEEext
HG00733	20201206_UL_eee-grid3-X1-FAO89480_guppy-5 	ONT	EEEext
HG00733	20201206_UL_eee-grid3-X2-FAO82964_guppy-5 	ONT	EEEext
HG00733	20201206_UL_eee-grid3-X3-FAO94635_guppy-5 	ONT	EEEext
HG00733	20210727_UL_eee-prom1-1E-PAH36624_guppy-5 	ONT	EEEext
HG00733	20210728_UL_eee-prom1-1E-PAH36624_guppy-5 	ONT	EEEext
HG00733	20210729_UL_eee-prom1-1E-PAH36624_guppy-5 	ONT	EEEext
HG00733	20220215_UL_eee-prom1-1D-PAJ02977_guppy-5 	ONT	EEEext
HG00733	20220215_UL_eee-prom1-1F-PAJ09070_guppy-5 	ONT	EEEext
HG00733	20220215_UL_eee-prom1-2E-PAJ10244_guppy-5 	ONT	EEEext
HG00733	20220215_UL_eee-prom1-2G-PAJ10244_guppy-5	ONT	EEEext
NA24385	20190125_UL_ext-prom1-1-E5-H5-PAD29338_guppy-5 	ONT	EEEext
NA24385	20190127_UL_ext-prom1-1-A9-D9-PAD28937_guppy-5 	ONT	EEEext
NA24385	20190128_UL_ext-prom1-1-A9-D9-PAD28937_guppy-5 	ONT	EEEext
NA24385	20190128_UL_ext-prom1-1-E9-H9-PAD28926_guppy-5 	ONT	EEEext
NA24385	20190129_UL_ext-prom1-1-A9-D9-PAD28937_guppy-5 	ONT	EEEext
NA24385	20190129_UL_ext-prom1-1-E9-H9-PAD28926_guppy-5	ONT	EEEext
