# 20230428T1139
sample_num	sample	read_type	source	cell	project_phase	data_production	HHU_complete	sin
1	NA19238	HiFi	JAX	m54336U_191015_222230	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m54336U_191017_101413	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190817_141701	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190818_202358	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190828_220241	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190830_040857	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190831_102034	Yr1	incomplete	no	SIN:19238
1	NA19238	HiFi	JAX	m64039_190901_163200	Yr1	incomplete	no	SIN:19238
2	NA19239	HiFi	JAX	m54336U_191005_142313	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m54336U_191007_123158	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m64039_190823_190750	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m64039_190910_140737	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m64039_190911_201425	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m64039_190915_204135	Yr1	incomplete	no	SIN:19239
2	NA19239	HiFi	JAX	m64039_190917_025247	Yr1	incomplete	no	SIN:19239
2	NA19239	ONT	JAX	20220510_220504_21-lee-006_PC24B149_3F	Yr1	incomplete	no	SIN:19239
2	NA19239	ONT	JAX	20220515_220510_21-lee-006_PC24B149_3F	Yr1	incomplete	no	SIN:19239
2	NA19239	ONT	JAX	20220517_220511_21-lee-006_PC24B149_3F	Yr1	incomplete	no	SIN:19239
3	NA19240	HiFi	JAX	m54336U_190827_013439	Yr1	incomplete	no	SIN:19240
3	NA19240	HiFi	JAX	m54336U_190828_075428	Yr1	incomplete	no	SIN:19240
3	NA19240	HiFi	JAX	m54336U_190829_230546	Yr1	incomplete	no	SIN:19240
3	NA19240	HiFi	JAX	m64039_190922_223056	Yr1	incomplete	no	SIN:19240
3	NA19240	HiFi	JAX	m64039_190930_063309	Yr1	incomplete	no	SIN:19240
4	HG00731	HiFi	UW	m54329U_190528_231241	Yr1	incomplete	no	SIN:00731
4	HG00731	HiFi	UW	m54329U_190531_175004	Yr1	incomplete	no	SIN:00731
4	HG00731	HiFi	UW	m54329U_190601_235636	Yr1	incomplete	no	SIN:00731
4	HG00731	HiFi	UW	m54329U_190606_045526	Yr1	incomplete	no	SIN:00731
4	HG00731	HiFi	UW	m54329U_190906_205127	Yr1	incomplete	no	SIN:00731
4	HG00731	ONT	JAX	20220510_220504_21-lee-006_PC24B149_1D	Yr1	incomplete	no	SIN:00731
4	HG00731	ONT	JAX	20220510_220504_21-lee-006_PC24B149_3C	Yr1	incomplete	no	SIN:00731
4	HG00731	ONT	JAX	20220510_220505_21-lee-006_PC24B149_3C	Yr1	incomplete	no	SIN:00731
4	HG00731	ONT	JAX	20220511_220506_21-lee-006_PC24B149_1D	Yr1	incomplete	no	SIN:00731
5	HG00732	HiFi	UW	m54329U_200528_200534	Yr1	complete	yes	SIN:00732
5	HG00732	HiFi	UW	m64076_200601_234627	Yr1	complete	yes	SIN:00732
5	HG00732	HiFi	UW	m64076_200603_055852	Yr1	complete	yes	SIN:00732
5	HG00732	ONT	UW	20221213_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00732
5	HG00732	ONT	UW	20221214_HG00732_UL_eee-prom1-2B-PAG65793_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00732
5	HG00732	ONT	UW	20221214_HG00732_UL_eee-prom1-2E-PAG68402_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00732
5	HG00732	ONT	UW	20221220_HG00732_UL_eee-prom1-2C-PAG67955_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00732
5	HG00732	ONT	UW	20221228_HG00732_UL_eee-prom1-2A-PAG65779_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00732
6	HG00733	HiFi	EEEext	m64076_211214_012715	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	EEEext	m64076_211215_225159	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	EEEext	m64076_211217_081943	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	EEEext	m64076_211218_173901	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	EEEext	m64076_211221_015212	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190607_185248	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190615_010947	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190617_231905	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190619_052546	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190629_180018	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190701_222759	Yr1	complete	yes	SIN:00733
6	HG00733	HiFi	UW	m54329U_190827_173812	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	JAX	20220223_220216_21-lee-006_PC24B149_3F	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	JAX	20220228_220223_21-lee-006_PC24B149_1F	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	JAX	20220304_220224_21-lee-006_PC24B149_3D	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20210727_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20210728_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20210729_UL_eee-prom1-1E-PAH36624-2_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20210729_UL_eee-prom1-1E-PAH36624_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20220215_UL_eee-prom1-1D-PAJ02977_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20220215_UL_eee-prom1-1F-PAJ09070_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20220215_UL_eee-prom1-2E-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
6	HG00733	ONT	UW	HG00733_20220215_UL_eee-prom1-2G-PAJ10244_guppy-5.0.11-sup-prom_fastq_pass	Yr1	complete	yes	SIN:00733
7	HG00512	HiFi	UMIGS	S64018_PL100139347-1_A01	Yr1	incomplete	no	SIN:00512
7	HG00512	HiFi	UMIGS	S64018_PL100139347-1_C01	Yr1	incomplete	no	SIN:00512
7	HG00512	HiFi	UMIGS	S64018_PL100139347-2_A01	Yr1	incomplete	no	SIN:00512
7	HG00512	HiFi	UMIGS	S64018_PL100139347-2_B01	Yr1	incomplete	no	SIN:00512
7	HG00512	HiFi	UMIGS	S64049_PL100139347-2_A01	Yr1	incomplete	no	SIN:00512
7	HG00512	HiFi	UMIGS	S64049_PL100139347-2_B01	Yr1	incomplete	no	SIN:00512
7	HG00512	ONT	JAX	20220425_220420_21-lee-006_PC24B149_3F	Yr1	incomplete	no	SIN:00512
7	HG00512	ONT	JAX	20220503_220427_21-lee-006_PC24B149_3E	Yr1	incomplete	no	SIN:00512
7	HG00512	ONT	JAX	20220503_220429_21-lee-006_PC24B149_1D	Yr1	incomplete	no	SIN:00512
8	HG00513	HiFi	UMIGS	20190920_S64018_PL100139348-1_D01	Yr1	incomplete	no	SIN:00513
8	HG00513	HiFi	UMIGS	20191004_S64018_PL100139348-1_D01	Yr1	incomplete	no	SIN:00513
8	HG00513	HiFi	UMIGS	S64018_PL100139348-1_B01	Yr1	incomplete	no	SIN:00513
