# 20230630T1252
order_num	sample	sex	hifi_complete	ont_complete	igsr_status
1	NA19238	Female	no	no	incomplete
2	NA19239	Male	no	yes	incomplete
3	NA19240	Female	no	no	incomplete
4	HG00731	Male	no	no	incomplete
5	HG00732	Female	yes	yes	complete
6	HG00733	Female	yes	yes	complete
7	HG00512	Male	yes	no	incomplete
8	HG00513	Female	yes	no	incomplete
9	HG00514	Female	yes	no	incomplete
10	HG03732	Male	yes	no	incomplete
11	HG01573	Female	yes	yes	complete
12	HG00171	Female	yes	yes	complete
13	HG02587	Female	yes	yes	complete
14	HG01114	Female	yes	yes	complete
15	HG02018	Female	yes	yes	complete
16	NA19036	Female	yes	yes	complete
17	NA12329	Female	yes	no	incomplete
18	HG02011	Male	yes	no	incomplete
19	NA19983	Female	yes	yes	complete
20	HG03371	Male	yes	no	incomplete
21	HG02492	Male	yes	no	incomplete
22	HG03009	Male	yes	no	incomplete
23	HG03683	Female	yes	yes	complete
24	HG03065	Male	yes	no	incomplete
25	NA18534	Male	yes	no	incomplete
26	HG01505	Male	yes	yes	complete
27	NA19650	Male	yes	no	incomplete
28	NA18939	Female	yes	no	incomplete
29	HG00864	Female	yes	no	incomplete
30	NA20847	Female	yes	no	incomplete
31	NA20509	Male	yes	no	incomplete
32	HG00096	Male	yes	no	incomplete
33	HG01596	Male	yes	no	incomplete
34	NA24385	Male	yes	no	incomplete
35	NA12878	Female	skip	skip	skip
36	HG02818	Female	yes	yes	complete
37	HG03125	Female	skip	skip	skip
38	HG03486	Female	skip	skip	skip
39	HG01352	Female	yes	yes	complete
40	HG02059	Female	yes	yes	complete
41	NA19434	Female	yes	yes	complete
42	HG04217	Female	yes	yes	complete
43	HG03807	Female	yes	yes	complete
44	NA19836	Female	yes	yes	complete
45	HG02106	Female	yes	yes	complete
46	HG00268	Female	yes	yes	complete
47	GM20355	Female	yes	yes	complete
48	GM19320	Female	yes	no	complete
49	GM19129	Female	yes	yes	complete
50	HG02769	Female	yes	yes	complete
51	HG03452	Female	yes	yes	complete
52	HG03520	Female	yes	yes	complete
53	HG02282	Female	yes	yes	complete
54	HG02554	Male	yes	yes	complete
55	HG02953	Male	yes	yes	complete
56	GM21487	Female	yes	yes	complete
57	NA18989	Male	yes	yes	complete
58	NA19331	Male	yes	yes	complete
59	HG02666	Male	yes	yes	complete
60	NA19317	Male	yes	yes	complete
61	NA19347	Male	yes	yes	complete
62	HG03248	Male	yes	yes	complete
63	HG04036	Female	yes	yes	complete
64	HG01457	Male	yes	yes	complete
65	NA19384	Male	yes	yes	complete
66	HG01890	Male	yes	no	incomplete
67	NA19705	Male	yes	no	incomplete
68	HG03456	Male	yes	no	incomplete
69	HG00358	Male	yes	yes	complete
