# 202400202T1544
sample	asm_hap1	asm_hap2	family	sex
200084-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
200085-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
200087-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
200101-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
200102-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
200105-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200105/hifiasm/0.19.5/200105.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/200105/hifiasm/0.19.5/200105.hifiasm.dip.hap2.p_ctg.gfa.fasta	1463	male
NA12877-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12877/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12877/verkko/1.4.1/assembly.haplotype2.fasta	1463	male
NA12882-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12882/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12882/verkko/1.4.1/assembly.haplotype2.fasta	1463	male
NA12883-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12883/verkko/1.3.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12883/verkko/1.3.1/assembly.haplotype2.fasta	1463	male
NA12884-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12884/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12884/verkko/1.4.1/assembly.haplotype2.fasta	1463	male
NA12886-ceph	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12886/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/ceph_pedigree/2024-01/assemblies/males/NA12886/verkko/1.4.1/assembly.haplotype2.fasta	1463	male
