# 202400202T1328
sample	asm_hap1	asm_hap2
200084	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap2.p_ctg.gfa.fasta
200085	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap2.p_ctg.gfa.fasta
200087	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap2.p_ctg.gfa.fasta
200101	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap2.p_ctg.gfa.fasta
200102	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap2.p_ctg.gfa.fasta
200105	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200105/hifiasm/0.19.5/200105.hifiasm.dip.hap1.p_ctg.gfa.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/200105/hifiasm/0.19.5/200105.hifiasm.dip.hap2.p_ctg.gfa.fasta
NA12877	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12877/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12877/verkko/1.4.1/assembly.haplotype2.fasta
NA12882	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12882/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12882/verkko/1.4.1/assembly.haplotype2.fasta
NA12883	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12883/verkko/1.3.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12883/verkko/1.3.1/assembly.haplotype2.fasta
NA12884	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12884/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12884/verkko/1.4.1/assembly.haplotype2.fasta
NA12886	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12886/verkko/1.4.1/assembly.haplotype1.fasta	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/project-centric/platinum_pedigree/2024-01/assemblies/males/NA12886/verkko/1.4.1/assembly.haplotype2.fasta
