sample	family	member	input
NA24385-HXT	ASK-HXT	child	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24385/NA24385_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
NA24143-HXT	ASK-HXT	mother	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24143/NA24143_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
NA24149-HXT	ASK-HXT	father	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA24149/NA24149_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00514-HXT	CHS-HXT	child	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00514/HG00514_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00513-HXT	CHS-HXT	mother	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00513/HG00513_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00512-HXT	CHS-HXT	father	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00512/HG00512_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00733-HXT	PUR-HXT	child	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00733/HG00733_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00732-HXT	PUR-HXT	mother	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00732/HG00732_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
HG00731-HXT	PUR-HXT	father	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/HG00731/HG00731_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
NA19240-HXT	ASK-HXT	child	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19240/NA19240_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
NA19238-HXT	ASK-HXT	mother	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19238/NA19238_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
NA19239-HXT	ASK-HXT	father	/gpfs/project/projects/medbioinf/data/00_RESTRUCTURE/sample-centric/NA19239/NA19239_shortwgs_fastq.wustl-PRJNA477862-20XX.fofn
