# AUTOGEN TABLE - DO NOT EDIT
# 20230928T1655
# Verkko v1.4.1 batch 2 phased assemblies
# 16 samples
sequence		asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants
statistic		cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp
sample	sample_num																																																																																																																																																																																						
HG00731	4	1.0	146173010.0	151058330.0	3013787576.0	37.0	1.0	146173010.0	151072035.0	3013514080.0	30.0	1.0	146173010.0	151072035.0	3013514080.0	30.0	1.0	146173010.0	151115688.0	3012638490.0	29.0	1.0	146173010.0	152043944.0	2993751505.0	24.0	1.0	146173010.0	156836136.0	2869153286.0	21.0	0.8	171180058.0	175054144.0	2297131939.0	14.0	1.0	137762233.0	144325546.0	2947088956.0	51.0	1.0	137762233.0	144353143.0	2946525275.0	40.0	1.0	137762233.0	144438711.0	2944775238.0	35.0	1.0	137762233.0	144627550.0	2940908974.0	30.0	1.0	146263257.0	145260339.0	2927857467.0	25.0	0.9	146263257.0	148913394.0	2829922615.0	22.0	0.7	160934068.0	168276863.0	2218653945.0	14.0	0.0	300122.0	378957.0	0.183	10912876.0	74.0	0.0	300122.0	379923.0	10884416.0	71.0	0.0	300122.0	386213.0	10700636.0	57.0	0.0	315415.0	403912.0	10188454.0	41.0	0.0	419690.0	438277.0	9220940.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34289.0	90923.0	12864579.0	376.0	0.0	34654.0	91798.0	12728341.0	361.0	0.0	39522.0	103179.0	11061918.0	255.0	0.0	196870.0	206873.0	4539530.0	33.0	0.0	221151.0	256488.0	3332055.0	15.0	0.0	17576.0	21552.0	0.01	589842.0	33.0	0.0	17834.0	21951.0	571131.0	31.0	0.0	28401.0	31850.0	235891.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	13169.0	13781.0	78241.0	7.0	0.0	13709.0	16103.0	59584.0	4.0	0.0	21979.0	21979.0	21979.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG03732	10	1.0	136436893.0	135752031.0	2955567591.0	146.0	1.0	136436893.0	135854777.0	2953331441.0	92.0	1.0	136436893.0	136299884.0	2943666262.0	52.0	1.0	136436893.0	136498901.0	2939346648.0	47.0	1.0	136436893.0	138932940.0	2886145165.0	29.0	0.9	137243106.0	147208329.0	2675910923.0	21.0	0.7	160871949.0	167379911.0	2059978738.0	13.0	1.0	133101139.0	124864420.0	3014716982.0	86.0	1.0	133101139.0	124919881.0	3013377937.0	54.0	1.0	133101139.0	125037852.0	3010529371.0	40.0	1.0	133101139.0	125135185.0	3008172115.0	37.0	1.0	133101139.0	125930439.0	2988747949.0	29.0	0.9	134358522.0	133195997.0	2750141005.0	23.0	0.6	146273872.0	154071899.0	1925450618.0	13.0	0.0	348172.0	481816.0	0.684	40823682.0	208.0	0.0	356042.0	482319.0	40780309.0	203.0	0.0	356042.0	485443.0	40509573.0	184.0	0.0	356373.0	498466.0	39375015.0	147.0	0.0	368511.0	519946.0	37465218.0	121.0	0.0	1834244.0	1642219.0	3222805.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	39759.0	103426.0	14836782.0	406.0	0.0	39956.0	104097.0	14732747.0	393.0	0.0	53817.0	118626.0	12645971.0	259.0	0.0	147877.0	202369.0	6460854.0	48.0	0.0	163007.0	238029.0	5069688.0	28.0	0.0	22911.0	27001.0	0.01	621006.0	30.0	0.0	22911.0	28074.0	586826.0	26.0	0.0	30744.0	34974.0	378008.0	12.0	0.0	52198.0	51144.0	102243.0	2.0	0.0	73.0	73.0	73.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG02011	18	1.0	137566759.0	140492274.0	2965918647.0	61.0	1.0	137566759.0	140529163.0	2965139761.0	42.0	1.0	137566759.0	140606985.0	2963493396.0	38.0	1.0	137566759.0	140665348.0	2962258222.0	36.0	1.0	137566759.0	142078207.0	2931961337.0	27.0	0.9	141929999.0	153588327.0	2633889546.0	19.0	0.8	161316281.0	163555875.0	2314381745.0	15.0	1.0	145343194.0	145333443.0	3005996725.0	82.0	1.0	145343194.0	145418848.0	3004230506.0	48.0	1.0	145343194.0	145575278.0	3000997755.0	30.0	1.0	145343194.0	145703488.0	2998344124.0	26.0	1.0	145343194.0	146015586.0	2991783594.0	24.0	1.0	151594987.0	149061101.0	2905732584.0	22.0	0.8	160488031.0	168121866.0	2251380774.0	14.0	0.0	334897.0	781448.0	0.188	11236880.0	53.0	0.0	334897.0	781448.0	11236880.0	53.0	0.0	334897.0	786590.0	11161947.0	48.0	0.0	334897.0	801215.0	10949791.0	41.0	0.0	338081.0	834036.0	10480177.0	34.0	0.0	2439893.0	2439893.0	2439893.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	41594.0	99403.0	10643443.0	271.0	0.0	41594.0	99548.0	10626488.0	269.0	0.0	48703.0	108754.0	9566928.0	203.0	0.0	158548.0	192375.0	4551197.0	41.0	0.0	300940.0	301375.0	2405465.0	9.0	0.0	28507.0	28619.0	0.006	346058.0	14.0	0.0	28507.0	28619.0	346058.0	14.0	0.0	32593.0	32188.0	274709.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	696334.0	696334.0	696334.0	1.0	0.0	0.0	0.0	0.0	0.0
HG03371	20	1.0	146394654.0	151896109.0	2940808073.0	54.0	1.0	146394654.0	151919896.0	2940347461.0	42.0	1.0	146394654.0	151972880.0	2939320326.0	38.0	1.0	146394654.0	152178576.0	2935329427.0	32.0	1.0	146394654.0	153407246.0	2911272604.0	24.0	0.9	159666797.0	159768647.0	2756294832.0	20.0	0.7	173428514.0	179631193.0	2198616267.0	13.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151425616.0	3003784343.0	31.0	1.0	155013754.0	151522191.0	3001861569.0	28.0	1.0	155013754.0	151995132.0	2992305980.0	25.0	1.0	155013754.0	157486725.0	2855389760.0	21.0	0.7	170820777.0	179337075.0	2206362542.0	13.0	0.0	422972.0	665650.0	0.409	24321699.0	125.0	0.0	422972.0	666175.0	24302268.0	123.0	0.0	423697.0	673959.0	24014852.0	104.0	0.0	449966.0	702175.0	22997101.0	74.0	0.0	478580.0	731874.0	21963799.0	59.0	0.0	2037002.0	2025290.0	4050443.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	31683.0	68726.0	13515211.0	434.0	0.0	31711.0	68761.0	13507885.0	432.0	0.0	34585.0	78354.0	11408407.0	303.0	0.0	172285.0	188559.0	3436937.0	29.0	0.0	218166.0	258163.0	2170327.0	10.0	0.0	25288.0	34999.0	0.005	299717.0	11.0	0.0	25288.0	34999.0	299717.0	11.0	0.0	55041.0	42025.0	212614.0	6.0	0.0	57615.0	56357.0	112656.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG02492	21	1.0	135396680.0	139415906.0	2934705001.0	99.0	1.0	135396680.0	139486317.0	2933223145.0	44.0	1.0	135396680.0	139573095.0	2931395903.0	36.0	1.0	135396680.0	139601926.0	2930787869.0	35.0	1.0	145934996.0	140944819.0	2902078594.0	26.0	0.9	145934996.0	146297122.0	2757090951.0	22.0	0.7	175091847.0	172361732.0	1967417540.0	12.0	1.0	133419530.0	132534337.0	3010998320.0	110.0	1.0	133419530.0	132596456.0	3009587338.0	55.0	1.0	133419530.0	132760064.0	3005871391.0	38.0	1.0	133419530.0	132865483.0	3003475320.0	34.0	1.0	133998314.0	133927292.0	2978982243.0	27.0	0.9	133998314.0	139540180.0	2819850302.0	22.0	0.7	151636392.0	153703912.0	2224424574.0	15.0	0.0	458335.0	954036.0	0.641	38105224.0	217.0	0.0	458335.0	955132.0	38061101.0	212.0	0.0	471867.0	974782.0	37281746.0	159.0	0.0	503733.0	1007525.0	36028515.0	118.0	0.0	614958.0	1080254.0	33421990.0	82.0	0.0	2696889.0	2381082.0	11139040.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	65262.0	125929.0	22693442.0	513.0	0.0	65262.0	126239.0	22633600.0	506.0	0.0	88474.0	141313.0	19911728.0	330.0	0.0	169275.0	197511.0	13182997.0	101.0	0.0	229810.0	251211.0	9263274.0	43.0	0.0	35499.0	43652.0	0.015	920728.0	34.0	0.0	35499.0	44228.0	906207.0	32.0	0.0	53233.0	53414.0	690431.0	17.0	0.0	76428.0	75473.0	362600.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG03009	22	1.0	143732596.0	151355664.0	2927528202.0	54.0	1.0	143732596.0	151385126.0	2926958243.0	42.0	1.0	143732596.0	151443378.0	2925830921.0	36.0	1.0	143732596.0	151471942.0	2925277153.0	35.0	1.0	143732596.0	153205086.0	2891171220.0	24.0	0.9	146252394.0	158844154.0	2756716491.0	20.0	0.7	161379633.0	178575426.0	2177712465.0	13.0	1.0	149276996.0	150127507.0	2983731641.0	38.0	1.0	149276996.0	150147790.0	2983328406.0	31.0	1.0	149276996.0	150220131.0	2981887812.0	27.0	1.0	149276996.0	150254421.0	2981204199.0	26.0	1.0	149276996.0	150381992.0	2978631182.0	25.0	0.9	149276996.0	155628629.0	2847232332.0	21.0	0.8	160493896.0	173708449.0	2277874858.0	14.0	0.0	2986661.0	5908336.0	0.965	57032357.0	99.0	0.0	2986661.0	5909290.0	57023138.0	98.0	0.0	2986661.0	5935202.0	56773551.0	81.0	0.0	2986661.0	5998619.0	56170128.0	61.0	0.0	2986661.0	6099103.0	55233381.0	48.0	0.0	12003088.0	8135267.0	40429210.0	10.0	0.0	12013588.0	12008340.0	24016676.0	2.0	0.0	44811.0	73749.0	9853726.0	264.0	0.0	44811.0	73929.0	9826462.0	261.0	0.0	47956.0	81465.0	8705140.0	186.0	0.0	112147.0	139200.0	3887979.0	38.0	0.0	191277.0	201067.0	2038622.0	11.0	0.0	17054.0	19090.0	0.005	287110.0	17.0	0.0	17054.0	19395.0	279988.0	16.0	0.0	26546.0	26835.0	103359.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27322.0	28771.0	135324.0	6.0	0.0	27322.0	28771.0	135324.0	6.0	0.0	46659.0	39518.0	73981.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG03065	24	1.0	134540910.0	137582814.0	2947790523.0	45.0	1.0	134540910.0	137584034.0	2947764368.0	44.0	1.0	134540910.0	137640261.0	2946557217.0	40.0	1.0	134540910.0	137694971.0	2945381351.0	38.0	1.0	134540910.0	139836784.0	2898496384.0	26.0	0.9	138516756.0	146692434.0	2711667634.0	21.0	0.7	161860225.0	163292440.0	2143061379.0	14.0	1.0	139427926.0	146747388.0	3027857946.0	123.0	1.0	139427926.0	146880952.0	3025103455.0	66.0	1.0	139427926.0	147231487.0	3017889120.0	31.0	1.0	139427926.0	147231487.0	3017889120.0	31.0	1.0	146251150.0	148086956.0	2999990348.0	26.0	1.0	146251150.0	153579460.0	2859096120.0	22.0	0.8	160608090.0	173425530.0	2288069960.0	14.0	0.0	444055.0	629566.0	0.663	39611476.0	177.0	0.0	444055.0	629914.0	39589352.0	174.0	0.0	463493.0	634541.0	39293193.0	155.0	0.0	483274.0	649926.0	38314843.0	123.0	0.0	525209.0	682821.0	36225198.0	96.0	0.0	1884371.0	1712507.0	6540049.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	82607.0	129157.0	46138325.0	969.0	0.0	82607.0	129444.0	46028580.0	956.0	0.0	101321.0	140255.0	42012190.0	704.0	0.0	200818.0	204986.0	26337125.0	178.0	0.0	226467.0	236913.0	21190988.0	105.0	0.0	19129.0	23079.0	0.008	452783.0	25.0	0.0	21166.0	23898.0	429991.0	22.0	0.0	30893.0	33054.0	215685.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	10461.0	10461.0	10461.0	1.0	0.0	10461.0	10461.0	10461.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA18534	25	1.0	146360782.0	148822846.0	2954949222.0	70.0	1.0	146360782.0	148865976.0	2954092766.0	50.0	1.0	146360782.0	148945565.0	2952510215.0	45.0	1.0	146360782.0	149140062.0	2948639219.0	40.0	1.0	146360782.0	151317119.0	2905240133.0	26.0	0.9	161614711.0	158735591.0	2729289185.0	20.0	0.7	172008151.0	178443562.0	2187471997.0	13.0	1.0	154529135.0	150017259.0	2995461141.0	112.0	1.0	154529135.0	150150040.0	2992811183.0	53.0	1.0	154529135.0	150323449.0	2989354288.0	31.0	1.0	154529135.0	150447896.0	2986870788.0	27.0	1.0	154529135.0	150602534.0	2983768909.0	25.0	1.0	154529135.0	154571720.0	2881539292.0	22.0	0.7	171757677.0	178349826.0	2195571695.0	13.0	0.0	393232.0	680542.0	0.692	41206249.0	219.0	0.0	393232.0	680701.0	41196509.0	218.0	0.0	397219.0	691815.0	40519184.0	174.0	0.0	415243.0	717969.0	38970438.0	125.0	0.0	444727.0	747606.0	37255164.0	101.0	0.0	1475489.0	1767847.0	9528685.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	46331.0	113085.0	12958454.0	311.0	0.0	46331.0	113231.0	12940286.0	309.0	0.0	81458.0	125581.0	11476850.0	217.0	0.0	180100.0	203113.0	6300992.0	41.0	0.0	226327.0	230865.0	5151128.0	26.0	0.0	21822.0	20324.0	0.011	658939.0	36.0	0.0	21822.0	20642.0	640825.0	34.0	0.0	26360.0	25877.0	330846.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	11774.0	13620.0	38381.0	3.0	0.0	17187.0	14986.0	28961.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
