# AUTOGEN TABLE - DO NOT EDIT
# 20230821T1434
# Verkko v1.4.1 batch 1 phased assemblies
sequence		asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap1	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-hap2	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-unassigned	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-rdna	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	asm-disconnected	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants	contaminants
statistic		cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_500kbp_at_3Gbp	length_N50_grt_500kbp	length_auN_grt_500kbp	total_length_grt_500kbp	total_num_grt_500kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_50Mbp_at_3Gbp	length_N50_grt_50Mbp	length_auN_grt_50Mbp	total_length_grt_50Mbp	total_num_grt_50Mbp	cov_xfold_grt_100Mbp_at_3Gbp	length_N50_grt_100Mbp	length_auN_grt_100Mbp	total_length_grt_100Mbp	total_num_grt_100Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp	cov_xfold_grt_10Mbp_at_3Gbp	length_N50_grt_10Mbp	length_auN_grt_10Mbp	total_length_grt_10Mbp	total_num_grt_10Mbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	pct_dip_length_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_0bp_at_3Gbp	length_N50_grt_0bp	length_auN_grt_0bp	total_length_grt_0bp	total_num_grt_0bp	cov_xfold_grt_10kbp_at_3Gbp	length_N50_grt_10kbp	length_auN_grt_10kbp	total_length_grt_10kbp	total_num_grt_10kbp	cov_xfold_grt_20kbp_at_3Gbp	length_N50_grt_20kbp	length_auN_grt_20kbp	total_length_grt_20kbp	total_num_grt_20kbp	cov_xfold_grt_50kbp_at_3Gbp	length_N50_grt_50kbp	length_auN_grt_50kbp	total_length_grt_50kbp	total_num_grt_50kbp	cov_xfold_grt_100kbp_at_3Gbp	length_N50_grt_100kbp	length_auN_grt_100kbp	total_length_grt_100kbp	total_num_grt_100kbp	cov_xfold_grt_1Mbp_at_3Gbp	length_N50_grt_1Mbp	length_auN_grt_1Mbp	total_length_grt_1Mbp	total_num_grt_1Mbp
sample	sample_num																																																																																																																																																																																						
HG00732	5	1.0	111023180.0	121747120.0	3029958606.0	79.0	1.0	111023180.0	121781061.0	3029113798.0	52.0	1.0	111023180.0	121832524.0	3027830619.0	47.0	1.0	111023180.0	121941047.0	3025120869.0	43.0	1.0	111023180.0	123377524.0	2988264008.0	34.0	0.9	134413609.0	132020530.0	2713746830.0	26.0	0.6	146051189.0	168793254.0	1705305306.0	11.0	1.0	132448006.0	125388107.0	3013001208.0	86.0	1.0	132448006.0	125429046.0	3012017440.0	51.0	1.0	132448006.0	125493518.0	3010465892.0	45.0	1.0	132448006.0	125628408.0	3007216510.0	40.0	1.0	135218799.0	126718494.0	2980364375.0	32.0	0.9	135218799.0	132702560.0	2806892894.0	25.0	0.6	147874465.0	161918535.0	1833385449.0	12.0	0.0	319228.0	460681.0	1.086	65646631.0	521.0	0.0	322888.0	461678.0	65502039.0	505.0	0.0	324340.0	469475.0	64376111.0	430.0	0.0	366697.0	513689.0	58476460.0	228.0	0.0	425283.0	546821.0	54380367.0	170.0	0.0	2434729.0	2212234.0	4366546.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	92352.0	146864.0	44382225.0	1000.0	0.0	94646.0	148398.0	43892818.0	947.0	0.0	133817.0	163421.0	39438863.0	645.0	0.0	232443.0	235425.0	25659680.0	153.0	0.0	269312.0	267375.0	21376680.0	94.0	0.0	25609.0	33269.0	0.026	1589157.0	65.0	0.0	25721.0	33702.0	1560809.0	62.0	0.0	26782.0	37728.0	1272913.0	43.0	0.0	97878.0	94684.0	189136.0	2.0	0.0	29503.0	22675.0	58514.0	3.0	0.0	29503.0	22675.0	58514.0	3.0	0.0	29503.0	29503.0	29503.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG00733	6	1.0	135320614.0	128036326.0	3025928493.0	51.0	1.0	135320614.0	128054414.0	3025500931.0	37.0	1.0	135320614.0	128061160.0	3025341370.0	36.0	1.0	135320614.0	128061160.0	3025341370.0	36.0	1.0	135320614.0	128939903.0	3004265808.0	28.0	1.0	137752880.0	133747658.0	2850542218.0	24.0	0.7	146283149.0	156653030.0	1962962960.0	13.0	1.0	136679475.0	140924715.0	3029673247.0	64.0	1.0	136679475.0	140963120.0	3028847647.0	32.0	1.0	136679475.0	140976379.0	3028562201.0	31.0	1.0	136679475.0	141008139.0	3027876712.0	30.0	1.0	136679475.0	141753782.0	3011525897.0	25.0	1.0	136679475.0	144641787.0	2926048362.0	23.0	0.8	146011511.0	162004407.0	2290766283.0	15.0	0.0	208124.0	228801.0	0.246	14896652.0	153.0	0.0	208124.0	229203.0	14869697.0	149.0	0.0	210279.0	236224.0	14397359.0	117.0	0.0	228300.0	258799.0	12955145.0	71.0	0.0	238114.0	286476.0	11250111.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35374.0	64881.0	33548786.0	1062.0	0.0	35673.0	65165.0	33380650.0	1042.0	0.0	39725.0	74377.0	28125995.0	701.0	0.0	106072.0	155720.0	9483047.0	98.0	0.0	260973.0	242599.0	4862091.0	24.0	0.0	21495.0	22706.0	0.013	814300.0	44.0	0.0	21753.0	23720.0	760145.0	37.0	0.0	26595.0	29037.0	463812.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	19183.0	19604.0	123698.0	7.0	0.0	19183.0	19604.0	123698.0	7.0	0.0	27154.0	26014.0	51918.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HG01573	11	1.0	136589329.0	123202177.0	3011509228.0	79.0	1.0	136589329.0	123244882.0	3010465331.0	50.0	1.0	136589329.0	123356784.0	3007728156.0	38.0	1.0	136589329.0	123475065.0	3004833358.0	33.0	1.0	136589329.0	123947620.0	2992738484.0	30.0	0.9	137606295.0	130234793.0	2792187120.0	24.0	0.7	144389803.0	149158299.0	2035023113.0	14.0	1.0	136571735.0	135122642.0	3021829616.0	80.0	1.0	136571735.0	135192123.0	3020275937.0	48.0	1.0	136571735.0	135252859.0	3018918077.0	39.0	1.0	136571735.0	135380444.0	3016060891.0	34.0	1.0	136571735.0	136216720.0	2997082999.0	28.0	0.9	136970937.0	142303126.0	2822751786.0	23.0	0.7	154751886.0	162623171.0	2150956276.0	14.0	0.1	46443.0	278763.0	4.96	299254726.0	6151.0	0.1	46443.0	278852.0	299156023.0	6139.0	0.1	49851.0	291960.0	284918744.0	5258.0	0.0	317043.0	551969.0	142154942.0	718.0	0.0	388848.0	638307.0	120625773.0	387.0	0.0	1763101.0	2153957.0	16925449.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	54257.0	132678.0	16169953.0	356.0	0.0	54257.0	132910.0	16139911.0	352.0	0.0	80638.0	143362.0	14805510.0	272.0	0.0	224500.0	234380.0	8166085.0	49.0	0.0	256190.0	272106.0	6572872.0	28.0	0.0	23152.0	23970.0	0.187	11266893.0	519.0	0.0	23194.0	24160.0	11137088.0	501.0	0.0	25340.0	27097.0	7915731.0	307.0	0.0	88356.0	74616.0	139000.0	2.0	0.0	30206.0	40252.0	71313502.0	2436.0	0.0	30220.0	40327.0	71149374.0	2413.0	0.0	31835.0	43438.0	62833847.0	1908.0	0.0	81307.0	117623.0	8641287.0	103.0	0.0	180887.0	195274.0	3513775.0	20.0	0.0	0.0	0.0	0.0	0.0
HG00171	12	1.0	140737330.0	139859013.0	3034998314.0	136.0	1.0	140737330.0	140046210.0	3030939680.0	61.0	1.0	140737330.0	140235548.0	3026841132.0	38.0	1.0	140737330.0	140366293.0	3024007296.0	34.0	1.0	140737330.0	141666838.0	2995266571.0	27.0	0.9	146761558.0	147673501.0	2830869112.0	22.0	0.7	158780978.0	166569156.0	2210386177.0	14.0	1.0	135792130.0	134329552.0	3005145731.0	57.0	1.0	135792130.0	134350743.0	3004671583.0	44.0	1.0	135792130.0	134424746.0	3003014060.0	36.0	1.0	135792130.0	134473410.0	3001922873.0	34.0	1.0	135792130.0	135542080.0	2977193063.0	28.0	0.9	145819074.0	142515018.0	2780258460.0	22.0	0.7	161552999.0	163813800.0	2032551644.0	13.0	0.0	494967.0	914771.0	0.516	31194959.0	111.0	0.0	494967.0	915038.0	31185793.0	110.0	0.0	494967.0	916325.0	31141257.0	107.0	0.0	502974.0	938593.0	30370829.0	86.0	0.0	572710.0	973125.0	29194689.0	71.0	0.0	2718281.0	2532742.0	7464835.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	39498.0	72964.0	9737386.0	250.0	0.0	39498.0	73017.0	9729460.0	248.0	0.0	41736.0	77280.0	9040763.0	207.0	0.0	112128.0	142932.0	3614485.0	37.0	0.0	213461.0	206396.0	2000303.0	11.0	0.0	31528.0	33522.0	0.009	529238.0	20.0	0.0	31528.0	33522.0	529238.0	20.0	0.0	39634.0	40736.0	379184.0	10.0	0.0	62053.0	62053.0	62053.0	1.0	0.0	30104.0	97271.0	86954955.0	2794.0	0.0	30180.0	97558.0	86676170.0	2757.0	0.0	33167.0	110497.0	74699461.0	2033.0	0.0	156178.0	300849.0	22141086.0	199.0	0.0	267953.0	450137.0	13695018.0	52.0	0.0	1063628.0	1037101.0	2072770.0	2.0
HG02587	13	1.0	139299482.0	135993789.0	3017598873.0	44.0	1.0	139299482.0	136009608.0	3017247720.0	38.0	1.0	139299482.0	136046467.0	3016428601.0	35.0	1.0	139299482.0	136046467.0	3016428601.0	35.0	1.0	139299482.0	136844084.0	2998511714.0	27.0	0.9	145641818.0	143603287.0	2801983788.0	22.0	0.7	154383121.0	161902643.0	2141263169.0	14.0	1.0	136083123.0	132096871.0	3008624497.0	61.0	1.0	136083123.0	132125582.0	3007970413.0	48.0	1.0	136083123.0	132220215.0	3005813796.0	37.0	1.0	136083123.0	132277502.0	3004505554.0	35.0	1.0	136083123.0	133553826.0	2974430196.0	29.0	0.9	136083123.0	139872675.0	2794228030.0	23.0	0.6	158967422.0	166431795.0	1901463519.0	12.0	0.0	783906.0	12546243.0	1.112	67040504.0	156.0	0.0	783906.0	12546243.0	67040504.0	156.0	0.0	783906.0	12579772.0	66861586.0	145.0	0.0	1073820.0	12706752.0	66191481.0	126.0	0.0	1094453.0	13094085.0	64222392.0	98.0	0.0	28659088.0	24810281.0	33325556.0	5.0	0.0	28659088.0	28659088.0	28659088.0	1.0	0.0	39350.0	89175.0	19886353.0	512.0	0.0	39350.0	89241.0	19869996.0	510.0	0.0	42544.0	96990.0	17944591.0	395.0	0.0	191323.0	184617.0	7583489.0	60.0	0.0	222346.0	228893.0	5551851.0	27.0	0.0	38937.0	43816.0	0.01	625998.0	20.0	0.0	38937.0	45368.0	599336.0	17.0	0.0	40195.0	49987.0	514496.0	12.0	0.0	79670.0	79282.0	158561.0	2.0	0.0	33350.0	132404.0	54449044.0	1587.0	0.0	33367.0	132612.0	54357926.0	1575.0	0.0	38305.0	148795.0	47690805.0	1172.0	0.0	208742.0	373341.0	16344044.0	118.0	0.0	312384.0	490429.0	11879066.0	43.0	0.0	1105250.0	1105250.0	1105250.0	1.0
HG01114	14	1.0	133607674.0	130048019.0	3028802798.0	258.0	1.0	133607674.0	130329770.0	3022252143.0	123.0	1.0	133607674.0	131076668.0	3004996827.0	42.0	1.0	133607674.0	131174565.0	3002741050.0	39.0	1.0	133607674.0	131869319.0	2986607676.0	32.0	0.9	133937574.0	143227801.0	2667904052.0	23.0	0.6	152406581.0	172199551.0	1887719299.0	12.0	1.0	135125707.0	128382719.0	3020382247.0	64.0	1.0	135125707.0	128411795.0	3019698160.0	41.0	1.0	135125707.0	128481779.0	3018049267.0	35.0	1.0	135125707.0	128562035.0	3016155284.0	32.0	1.0	135125707.0	128893029.0	3008243446.0	29.0	0.9	135714559.0	134972655.0	2815596975.0	24.0	0.7	146071252.0	157951310.0	1951818989.0	13.0	0.0	489563.0	666732.0	0.67	40527476.0	198.0	0.0	489563.0	666732.0	40527476.0	198.0	0.0	489563.0	672875.0	40147953.0	175.0	0.0	560358.0	702569.0	38358104.0	123.0	0.0	591790.0	735045.0	36482763.0	95.0	0.0	1287664.0	1488118.0	10795064.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	38073.0	70201.0	11174939.0	312.0	0.0	38073.0	70297.0	11157500.0	310.0	0.0	39867.0	75829.0	10105094.0	248.0	0.0	112791.0	148628.0	3779331.0	40.0	0.0	237910.0	231463.0	1943853.0	9.0	0.0	24818.0	26119.0	0.012	750833.0	33.0	0.0	24818.0	26420.0	739272.0	31.0	0.0	29734.0	29998.0	544442.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	38287.0	127162.0	78863452.0	2051.0	0.0	38389.0	127315.0	78762724.0	2037.0	0.0	42056.0	137445.0	72125766.0	1645.0	0.0	208206.0	286547.0	29886421.0	245.0	0.0	346949.0	409546.0	19338716.0	68.0	0.0	0.0	0.0	0.0	0.0
HG02018	15	1.0	136673151.0	136930877.0	3027577430.0	78.0	1.0	136673151.0	136994798.0	3026164258.0	43.0	1.0	136673151.0	137022210.0	3025558181.0	39.0	1.0	136673151.0	137114484.0	3023511880.0	36.0	1.0	136673151.0	138406449.0	2994215026.0	27.0	1.0	136673151.0	142999016.0	2865777513.0	23.0	0.7	146346089.0	163468700.0	2161991111.0	14.0	1.0	135348401.0	136689154.0	3006583842.0	57.0	1.0	135348401.0	136711493.0	3006092359.0	44.0	1.0	135348401.0	136799940.0	3004145196.0	35.0	1.0	135348401.0	136856889.0	3002889342.0	33.0	1.0	135348401.0	137656127.0	2985047508.0	26.0	0.9	135348401.0	143308187.0	2817839551.0	22.0	0.7	154393590.0	161342737.0	2148046439.0	14.0	0.1	71439.0	193940.0	4.841	292087862.0	5266.0	0.1	71592.0	194026.0	291952606.0	5248.0	0.1	81730.0	201367.0	280345454.0	4540.0	0.1	234636.0	312040.0	168712362.0	1085.0	0.0	315775.0	383456.0	130327839.0	508.0	0.0	1085682.0	1203119.0	3551122.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	46888.0	111115.0	15730667.0	365.0	0.0	46941.0	111293.0	15703288.0	362.0	0.0	54407.0	120330.0	14329261.0	280.0	0.0	143817.0	197552.0	7664011.0	57.0	0.0	185080.0	230389.0	6115152.0	33.0	0.0	23306.0	23692.0	1.339	80771784.0	3666.0	0.0	23363.0	23809.0	80164253.0	3588.0	0.0	25373.0	26391.0	58222998.0	2270.0	0.0	68777.0	68777.0	68777.0	1.0	0.0	53218.0	60996.0	2527022.0	55.0	0.0	53218.0	60996.0	2527022.0	55.0	0.0	53226.0	62868.0	2422834.0	49.0	0.0	70653.0	82315.0	1403692.0	19.0	0.0	124783.0	125739.0	371995.0	3.0	0.0	0.0	0.0	0.0	0.0
NA19036	16	1.0	134461585.0	128496759.0	3041930150.0	57.0	1.0	134461585.0	128513265.0	3041539261.0	49.0	1.0	134461585.0	128560783.0	3040413622.0	42.0	1.0	134461585.0	128560783.0	3040413622.0	42.0	1.0	134461585.0	129799597.0	3010636719.0	31.0	0.9	135202191.0	141356419.0	2676313138.0	21.0	0.7	147413604.0	157133734.0	2091162543.0	14.0	1.0	153764006.0	155532904.0	3011800255.0	70.0	1.0	153764006.0	155593402.0	3010628705.0	47.0	1.0	153764006.0	155788379.0	3006854145.0	30.0	1.0	153764006.0	155788379.0	3006854145.0	30.0	1.0	153764006.0	157008310.0	2982878906.0	23.0	1.0	153764006.0	159550523.0	2920625950.0	21.0	0.8	160632548.0	174536913.0	2475566155.0	15.0	0.0	595170.0	1540787.0	0.357	21629078.0	107.0	0.0	595170.0	1540787.0	21629078.0	107.0	0.0	595170.0	1551400.0	21479484.0	98.0	0.0	805445.0	1665585.0	19977168.0	51.0	0.0	1097635.0	1758593.0	18871018.0	36.0	0.0	3376425.0	3088894.0	9545483.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	70041.0	134570.0	22604956.0	458.0	0.0	70041.0	134716.0	22578687.0	455.0	0.0	99306.0	144177.0	20892738.0	357.0	0.0	216708.0	222751.0	12257515.0	76.0	0.0	253879.0	252131.0	10259762.0	47.0	0.0	30423.0	31118.0	0.01	597161.0	22.0	0.0	30423.0	31118.0	597161.0	22.0	0.0	32223.0	33419.0	523569.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	47754.0	144250.0	95739834.0	2203.0	0.0	47797.0	144455.0	95595602.0	2185.0	0.0	50438.0	153692.0	89128637.0	1801.0	0.0	157516.0	270795.0	45196020.0	389.0	0.0	296019.0	390447.0	28715386.0	115.0	0.0	1124246.0	1124246.0	1124246.0	1.0
